subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,9/23/2018,4/10/2017,4/11/2017,YouGov,B,1324,rv,.2284139,0,40,37,44.79832,39.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qs45iqlax3/econTabReport.pdf,49604,78156,4/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/11/2017,4/12/2017,Marist College,A,869,rv,1.224984,0,45,38,45.1308,38.53578,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170411_Circus/Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_April%202017.pdf#page=3,49610,78154,4/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/13/2017,4/15/2017,Morning Consult,B-,1992,rv,.1368888,0,40,40,44.49991,42.0313,"","",https://morningconsult.com/2017/04/20/grading-trumps-first-100-days-office/,49633,78143,4/16/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/15/2017,4/18/2017,YouGov,B,1291,rv,.2107504,0,38,32,42.79832,34.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3y1jngdqn7/econTabReport.pdf,49629,78200,4/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/17/2017,4/18/2017,Public Policy Polling,B,648,rv,.2980917,0,47,41,45.9636,40.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_42017.pdf,49637,78149,4/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/17/2017,4/20/2017,NBC News/Wall Street Journal,A-,759,rv,.9884612,0,47,43,45.8559,41.66911,"","",https://www.wsj.com/articles/americans-dissatisfaction-with-speaker-paul-ryan-congress-overall-is-growing-poll-finds-1493067612,49647,78201,4/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/17/2017,4/20/2017,Gravis Marketing,C+,1665,rv,1.019242,0,47,42,47.21896,41.24149,"","",http://orlando-politics.com/2017/04/25/gravis-marketing-poll-donald-trump-approval-rate-sits-at-42-as-he-approaches-100-day-mark/,49768,78168,4/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/20/2017,4/24/2017,McLaughlin & Associates,C-,1000,lv,.2571019,0,43,43,45.27081,40.39692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50465,79640,4/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/20/2017,4/24/2017,Morning Consult,B-,2032,rv,.1311787,0,40,44,44.49991,46.0313,"","",https://morningconsult.com/2017/04/26/trumps-border-wall-lowest-priority-funding-talks-voters-say/,49664,78165,4/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/23/2017,4/25/2017,YouGov,B,1289,rv,.1988677,0,39,34,43.79832,36.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,49656,78203,4/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/22/2017,4/25/2017,CNN/Opinion Research Corp.,B+,922,rv,1.464095,0,49,41,48.16928,40.55629,"","","http://i2.cdn.turner.com/cnn/2017/images/04/28/rel5c.-.congress,.health.care.pdf",49668,78202,4/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/23/2017,4/25/2017,Fox News,A,1009,rv,1.509804,0,47,42,46.90765,42.0509,"","",http://www.foxnews.com/politics/slideshow/2017/04/26/fox-news-poll-president-trumps-first-100-days.html,49666,78157,4/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/27/2017,4/30/2017,Morning Consult,B-,1998,rv,.1227815,0,41,41,45.49991,43.0313,"","",https://morningconsult.com/2017/05/03/people-split-states-treat-sickest-americans/,49689,78146,5/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,4/29/2017,5/2/2017,YouGov,B,1255,rv,.1839242,0,38,35,42.79832,37.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/blvmt31w4l/econTabReport.pdf,49688,78204,5/3/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/4/2017,5/6/2017,Morning Consult,B-,1996,rv,.1180584,0,42,36,46.49991,38.0313,"","",https://morningconsult.com/2017/05/10/obamacare-support-gop-alternative-poll-finds/,49712,78169,5/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/4/2017,5/9/2017,Quinnipiac University,A-,1078,rv,.7229904,0,54,38,51.8154,37.99812,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2456,49715,78207,5/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/6/2017,5/9/2017,YouGov,B,1278,rv,.1788241,0,40,35,44.79832,37.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hdfqb3wks2/econTabReport.pdf,49713,78161,5/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/9/2017,5/11/2017,Morning Consult,B-,1731,rv,.0995202,0,42,37,46.49991,39.0313,"","",https://morningconsult.com/2017/05/11/partisanship-strong-factor-voters-stance-comey-firing/,49718,78167,5/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/12/2017,5/14/2017,Morning Consult,B-,2001,rv,.1132504,0,42,35,46.49991,37.0313,"","",https://morningconsult.com/2017/05/17/trumps-approval-slide-continues-morale-among-base-weakens/,49737,78144,5/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/12/2017,5/14/2017,Public Policy Polling,B,692,rv,.3290937,0,49,38,47.9636,37.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_51617.pdf,49731,78166,5/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/13/2017,5/16/2017,YouGov,B,1293,rv,.1734244,0,40,33,44.79832,35.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,49739,78163,5/17/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/18/2017,5/22/2017,Morning Consult,B-,1938,rv,.1060848,0,41,37,45.49991,39.0313,"","",https://morningconsult.com/2017/05/24/trump-arrests-slide-despite-concerns-russia-probe-comey-firing/,49765,78148,5/23/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/19/2017,5/23/2017,Ipsos,B+,405,rv,.0169633,0,43,36.1,47.42534,39.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49793,79323,5/24/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/20/2017,5/23/2017,YouGov,B,1266,rv,.1633206,0,38,36,42.79832,38.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nkn28k0m0p/econTabReport.pdf,49764,78159,5/24/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/20/2017,5/24/2017,Ipsos,B+,727,rv,.0299357,0,43.2,36,47.62534,39.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,49792,79322,5/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/21/2017,5/25/2017,Ipsos,B+,369,lv,.0149386,0,40,35,44.42534,38.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49791,87412,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/22/2017,5/26/2017,Ipsos,B+,591,lv,.0235209,0,39.3,36.8,43.72534,40.60813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49799,87411,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/23/2017,5/27/2017,Ipsos,B+,699,lv,.0273415,0,40.2,36,44.62534,39.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49798,87410,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/24/2017,5/28/2017,Ipsos,B+,667,lv,.0256437,0,38.5,37.5,42.92534,41.30813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49797,87409,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/25/2017,5/29/2017,Ipsos,B+,652,lv,.0246404,0,37.3,38.1,41.72534,41.90813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49796,87408,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/25/2017,5/30/2017,Morning Consult,B-,1991,rv,.1050202,0,43,39,47.49991,41.0313,"","",http://www.politico.com/f/?id=0000015c-5adf-d8e5-adff-5fffa65d0001,49803,78249,5/31/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/26/2017,5/30/2017,Ipsos,B+,655,lv,.0243238,0,37.4,37.2,41.82534,41.00813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49813,87407,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/27/2017,5/30/2017,YouGov,B,1266,rv,.1570978,0,39,33,43.79832,35.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/sm62pd19o2/econTabReport.pdf,49801,78248,5/31/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/27/2017,5/31/2017,Ipsos,B+,546,lv,.0199034,0,37.4,35.4,41.82534,39.20813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49812,87406,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/28/2017,5/31/2017,McLaughlin & Associates,C-,1000,lv,.2770539,0,43.4,43.6,45.67081,40.99692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50464,79639,6/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/28/2017,6/1/2017,Ipsos,B+,528,lv,.0189057,0,38.9,33.8,43.32534,37.60813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49811,87405,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/29/2017,6/2/2017,Ipsos,B+,520,lv,.0182986,0,38.5,31.4,42.92534,35.20813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49821,87404,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/30/2017,6/3/2017,Ipsos,B+,575,lv,.019897,0,36.6,32.8,41.02534,36.60813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49820,87403,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/1/2017,6/2/2017,Morning Consult,B-,1999,rv,.1029228,0,42,39,46.49991,41.0313,"","",http://www.politico.com/story/2017/06/07/donald-trump-twitter-poll-239222,49824,78286,6/3/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/31/2017,6/4/2017,Ipsos,B+,669,lv,.0227767,0,38.5,32.3,42.92534,36.10813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49819,87402,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/1/2017,6/5/2017,Ipsos,B+,663,lv,.0222188,0,38.7,32.6,43.12534,36.40813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49822,87401,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,5/31/2017,6/5/2017,Greenberg Quinlan Rosner,B-,1000,rv,.9428374,0,50,40,49.02532,39.02739,"","",http://www.democracycorps.com/attachments/article/1079/Dcor_WV_RAE%20Panel_Wave%203_Deck_1.24.18_for%20release.pdf,50841,80333,6/6/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,5/31/2017,6/6/2017,Quinnipiac University,A-,1361,rv,.7623957,0,51,39,48.8154,38.99812,"","",https://poll.qu.edu/national/release-detail?ReleaseID=2463,49828,78293,6/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/2/2017,6/6/2017,Ipsos,B+,653,lv,.0215516,0,37,33,41.42534,36.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49836,87400,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/4/2017,6/6/2017,YouGov,B,1288,rv,.1538542,0,41,37,45.79832,39.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,49825,78287,6/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/3/2017,6/7/2017,Ipsos,B+,652,lv,.0212023,0,38.5,33.5,42.92534,37.30813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49835,87399,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/4/2017,6/8/2017,Ipsos,B+,576,lv,.0184626,0,41.2,33.2,45.62534,37.00813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49834,87398,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/5/2017,6/9/2017,Ipsos,B+,452,lv,.0142863,0,41.1,34.7,45.52534,38.50813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49848,87397,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/6/2017,6/10/2017,Ipsos,B+,415,lv,.0129392,0,42,35.3,46.42534,39.10813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49847,87396,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/7/2017,6/11/2017,Ipsos,B+,412,lv,.0126761,0,43,36.9,47.42534,40.70813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49846,87395,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/8/2017,6/12/2017,Ipsos,B+,383,lv,.0116315,0,42,38,46.42534,41.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49845,87394,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/8/2017,6/12/2017,Morning Consult,B-,1990,rv,.0990875,0,42,39,46.49991,41.0313,"","",http://www.politico.com/f/?id=0000015c-a2f6-d070-a57d-effe677f0001,49855,78337,6/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/9/2017,6/11/2017,Public Policy Polling,B,811,rv,.4049589,0,50,40,48.9636,39.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_61217.pdf,49842,78314,6/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/9/2017,6/13/2017,Ipsos,B+,383,lv,.0114848,0,39,40,43.42534,43.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49861,87393,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/10/2017,6/14/2017,Ipsos,B+,398,lv,.0117877,0,39,40,43.42534,43.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49860,87392,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/11/2017,6/13/2017,YouGov,B,1298,rv,.1501827,0,38,36,42.79832,38.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kc9nca1eho/econTabReport.pdf,49850,78331,6/14/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/11/2017,6/15/2017,Ipsos,B+,402,lv,.0117623,0,38,40,42.42534,43.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49859,87391,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/12/2017,6/16/2017,Ipsos,B+,402,lv,.0116234,0,39,39,43.42534,42.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49877,87390,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/13/2017,6/17/2017,Ipsos,B+,396,lv,.0113178,0,43,36,47.42534,39.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49876,87389,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/14/2017,6/18/2017,Ipsos,B+,390,lv,.0110199,0,45,34,49.42534,37.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49875,87388,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/15/2017,6/19/2017,Morning Consult,B-,2051,rv,.0996652,0,43,37,47.49991,39.0313,"","",https://morningconsult.com/wp-content/uploads/2017/06/170604_crosstabs_Politico_v1_TB-1.pdf,49881,78383,6/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/15/2017,6/19/2017,Ipsos,B+,394,lv,.0110094,0,46,30,50.42534,33.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49874,87387,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/16/2017,6/20/2017,Ipsos,B+,417,lv,.0115255,0,46,30.8,50.42534,34.60813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49895,87386,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/17/2017,6/21/2017,Ipsos,B+,417,lv,.0114023,0,41,35.9,45.42534,39.70813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49894,87385,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/18/2017,6/20/2017,YouGov,B,1277,rv,.1438024,0,38,35,42.79832,37.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b6o1y15enn/econTabReport.pdf,49878,78378,6/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/17/2017,6/20/2017,NBC News/Wall Street Journal,A-,765,rv,.9000729,0,50,42,48.8559,40.66911,"","",http://msnbcmedia.msn.com/i/TODAY/z_Creative/17255%20NBCWSJJunePoll.pdf,49885,78387,6/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/18/2017,6/22/2017,Ipsos,B+,435,lv,.0117699,0,41,34.5,45.42534,38.30813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49893,87384,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/19/2017,6/23/2017,Ipsos,B+,473,lv,.0126669,0,38.4,34.9,42.82534,38.70813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49903,87383,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/20/2017,6/24/2017,Ipsos,B+,500,lv,.0132547,0,36.9,35.4,41.32534,39.20813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49902,87382,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/21/2017,6/25/2017,Ipsos,B+,501,lv,.0131498,0,37.4,35.6,41.82534,39.40813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49901,87381,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/22/2017,6/24/2017,Morning Consult,B-,1994,rv,.0952649,0,42,40,46.49991,42.0313,"","",http://www.politico.com/f/?id=0000015c-eab8-d0dd-ad5e-febabb7b0001,49908,78427,6/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/21/2017,6/25/2017,Marist College,A,995,rv,1.314635,0,48,38,48.1308,38.53578,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us170621_PBS_NPR/NPR_PBS%20NewsHour_Marist%20Poll_National%20Nature%20of%20the%20Sample%20and%20Tables_Trump_Congress_Health%20Care_June%202017.pdf#page=3,49910,78429,6/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/22/2017,6/26/2017,Ipsos,B+,501,lv,.0130223,0,39.1,33.6,43.52534,37.40813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49900,87380,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/22/2017,6/27/2017,Quinnipiac University,A-,1212,rv,.6043937,0,51,41,48.8154,40.99812,"","",https://poll.qu.edu/images/polling/us/us06292017_U29wzguu.pdf/,49917,78440,6/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/23/2017,6/27/2017,Ipsos,B+,537,lv,.0138247,0,36.8,36,41.22534,39.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49920,87379,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/24/2017,6/28/2017,Ipsos,B+,543,lv,.013848,0,40.2,34.3,44.62534,38.10813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49922,87378,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/25/2017,6/27/2017,Fox News,A,1017,rv,1.462361,0,47,41,46.90765,41.0509,"","",http://www.foxnews.com/politics/interactive/2017/06/28/fox-news-poll-june-28-2017.html,49912,78434,6/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/25/2017,6/27/2017,YouGov,B,1279,rv,.1407896,0,41,35,45.79832,37.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/p97ezf7wcq/econTabReport.pdf,49906,78428,6/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/25/2017,6/29/2017,Ipsos,B+,503,lv,.0127101,0,40.9,32.9,45.32534,36.70813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49921,87377,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/26/2017,6/30/2017,Ipsos,B+,530,lv,.0132709,0,41.1,33.4,45.52534,37.20813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49938,87376,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/27/2017,7/1/2017,Ipsos,B+,516,lv,.0128054,0,39.3,34.6,43.72534,38.40813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49937,87375,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/28/2017,7/2/2017,Ipsos,B+,480,lv,.0118079,0,42.1,34,46.52534,37.80813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49936,87374,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/29/2017,6/30/2017,Morning Consult,B-,1989,rv,.0935517,0,43,39,47.49991,41.0313,"","",https://morningconsult.com/wp-content/uploads/2017/07/170612_crosstabs_POLITICO_v2_AP-1.pdf,49941,78483,7/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,6/29/2017,7/3/2017,Ipsos,B+,406,lv,.0099013,0,40,34.9,44.42534,38.70813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49935,87373,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,6/30/2017,7/4/2017,Ipsos,B+,450,lv,.0108811,0,42.9,35.6,47.32534,39.40813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49934,87372,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,7/1/2017,7/5/2017,Ipsos,B+,404,lv,.0096872,0,43,35.1,47.42534,38.90813,"",T,http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1,49946,87371,9/18/2018,13:20:19 23 Sep 2018
All polls,9/23/2018,7/3/2017,7/4/2017,YouGov,B,1310,rv,.1412242,0,37,35,41.79832,37.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/o8w3rbul29/econTabReport.pdf,49931,78463,7/5/2017,13:20:19 23 Sep 2018
