Democrat	Republican	Undecided	Other	Not Voting	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
40.0	43.0	13.0	4.0		fox-18399	FOX	2013-11-10	2013-11-12		Registered Voters	1006	3.0	Live Phone	Nonpartisan	None
34.0	27.0	23.0	4.0	12.0	yougov-economist-18401	YouGov/Economist	2013-11-09	2013-11-11		Adults	1000	4.8	Internet	Nonpartisan	None
39.0	39.0	18.0	3.0	2.0	quinnipiac-18397	Quinnipiac	2013-11-06	2013-11-11		Registered Voters	2545	1.9	Live Phone	Nonpartisan	None
41.0	39.0	14.0	6.0		rasmussen-18402	Rasmussen	2013-11-04	2013-11-10		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
35.0	27.0	17.0	4.0	16.0	yougov-economist-18372	YouGov/Economist	2013-11-02	2013-11-04		Adults	1000	5.0	Internet	Nonpartisan	None
43.0	37.0	14.0	6.0		rasmussen-18362	Rasmussen	2013-10-28	2013-11-03		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	38.0	18.0			ppp-d-18338	PPP (D)	2013-10-29	2013-10-31		Likely Voters	649	3.8	Automated Phone	Pollster	Dem
45.0	41.0	15.0			gwu-battleground-18357	GWU/Battleground	2013-10-27	2013-10-31		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
37.0	28.0	18.0	5.0	12.0	yougov-economist-18325	YouGov/Economist	2013-10-26	2013-10-28		Adults	1000	4.3	Internet	Nonpartisan	None
45.0	41.0	14.0			nbc-wsj-18326	NBC/WSJ	2013-10-25	2013-10-28		Registered Voters			Live Phone	Nonpartisan	None
43.0	37.0	13.0	7.0		rasmussen-18304	Rasmussen	2013-10-21	2013-10-27		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	37.0	12.0	5.0		fox-18252	FOX	2013-10-20	2013-10-22		Registered Voters	1020	3.0	Live Phone	Nonpartisan	None
50.0	42.0	1.0	4.0	2.0	cnn-18227	CNN	2013-10-18	2013-10-20		Registered Voters			Live Phone	Nonpartisan	None
48.0	40.0	4.0	1.0	6.0	abc-post-18226	ABC/Post	2013-10-17	2013-10-20		Registered Voters	865	3.9	Live Phone	Nonpartisan	None
43.0	36.0	14.0	7.0		rasmussen-18234	Rasmussen	2013-10-14	2013-10-20		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
49.0	43.0	8.0			pew-18190	Pew	2013-10-09	2013-10-13		Registered Voters	1259	3.2	Live Phone	Nonpartisan	None
45.0	38.0	12.0	6.0		rasmussen-18185	Rasmussen	2013-10-07	2013-10-13		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	36.0	14.0	4.0	1.0	gqr-d-18172	GQR (D)	2013-10-07	2013-10-10		Registered Voters	801	3.5	Live Phone	Pollster	Dem
47.0	39.0	14.0			nbc-wsj-18169	NBC/WSJ	2013-10-07	2013-10-09		Registered Voters	688	3.74	Live Phone	Nonpartisan	None
47.0	43.0	8.0	2.0		democracy-corps-d-wvwv-18167	Democracy Corps (D-WVWV)	2013-10-06	2013-10-08		Likely Voters	860	3.18	Live Phone	Pollster	Dem
46.0	41.0	14.0			ppp-d-18151	PPP (D)	2013-10-04	2013-10-06		Likely Voters	1000	3.1	Automated Phone	Pollster	Dem
40.0	40.0	13.0	7.0		rasmussen-18165	Rasmussen	2013-09-30	2013-10-06		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
42.0	38.0	15.0	5.0		rasmussen-18128	Rasmussen	2013-09-23	2013-09-29		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	34.0	17.0	4.0	2.0	quinnipiac-18107	Quinnipiac	2013-09-23	2013-09-29		Registered Voters	1497	2.5	Live Phone	Nonpartisan	None
45.0	40.0	15.0			ppp-d-18113	PPP (D)	2013-09-25	2013-09-26		Likely Voters	709	3.5	Automated Phone	Pollster	Dem
40.0	37.0	16.0	6.0		rasmussen-18093	Rasmussen	2013-09-16	2013-09-22		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
